files,curr_date,version,file_urls,make,model
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_3v.jpg', 'path': 'full/47669eda5f6fd393b5c606447bd48430a189d1ef.jpg', 'checksum': '116702782522fdfa9d6632719b27fd7c'}]",2016/08/07,"
            2.5DI-D 4x4 Shogun auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_3v.jpg,Mitsubishi,Pajero Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3v.jpg', 'path': 'full/1f4053a5ee444a91d38e9420cba4f3e61c78825e.jpg', 'checksum': '9fb9a27d4dc3439a066debac5d088d5b'}]",2016/08/07,"
            5-door 3.2DI-D GLS Legend II    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3v.jpg,Mitsubishi,Pajero
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3_3v.jpg', 'path': 'full/64f95d864748d5891da44a20f74945db6b02e0e9.jpg', 'checksum': 'b1f80fe55205fee01c5430a71ad7a8eb'}]",2016/08/07,"
            5-door 3.2DI-D GLS Legend II    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3_3v.jpg,Mitsubishi,Pajero
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1v.jpg', 'path': 'full/b3819a011de2511c25be6ec94bc67c9770efb582.jpg', 'checksum': '131f8856c51206b3296ca04093078226'}]",2016/08/07,"
            2.4 GLS Exceed    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1v.jpg,Mitsubishi,Outlander
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1_2v.jpg', 'path': 'full/940233012ea91e19a0f7c36010546da91215aa4f.jpg', 'checksum': '6e4ad2fc015671a08457f5e75269da4e'}]",2016/08/07,"
            2.4 GLS Exceed    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1_2v.jpg,Mitsubishi,Outlander
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1_3v.jpg', 'path': 'full/0f9ae4b3b36b4f98e76b42c9ff4a36e7322735d2.jpg', 'checksum': '7f357563be315ecb161158cceaf033e6'}]",2016/08/07,"
            2.4 GLS Exceed    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Outlander/Mitsubishi-Outlander-2.4-GLS-Exceed_MitsOutl3fe1_3v.jpg,Mitsubishi,Outlander
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4v.jpg', 'path': 'full/501cc681a45c00ed4d11bd92116f74c841828c9f.jpg', 'checksum': '817643b0268b2ce6784af890a6ccf25c'}]",2016/08/07,"
            2.0 GLS auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4v.jpg,Mitsubishi,ASX
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4_2v.jpg', 'path': 'full/7815192ffbd35655da8a11b8903af7b54199e49e.jpg', 'checksum': '251287847fbc54bafd3cd96b57def8d5'}]",2016/08/07,"
            2.0 GLS auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4_2v.jpg,Mitsubishi,ASX
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4_3v.jpg', 'path': 'full/ae9ac509ebeea0b731410cd34c7022a270f4fd71.jpg', 'checksum': '8ea229462ebddd7cad3ff866a8091a9c'}]",2016/08/07,"
            2.0 GLS auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-ASX/Mitsubishi-ASX-2.0-GLS-auto_MitsASX1ffe4_3v.jpg,Mitsubishi,ASX
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5v.jpg', 'path': 'full/bbbcafa91a17da881320aaadf8240ef62a4cf503.jpg', 'checksum': '3449755d8e7ece2a6e837d174c4a7994'}]",2016/08/07,"
            1.2 GLS    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5v.jpg,Mitsubishi,Mirage
