,Johannesburg,Pretoria,East London,Cape Town,Durban,Soweto,Port Elizabeth,Benoni,Pietermaritzburg,South Africa
0,0.0894064631508,0.0997456798121,0.0,0.118624220636,0.0457029397399,0.132232070148,0.0071823749823,0.0285374699762,0.380516091621,0.0826650681525
1,0.0756677544392,0.0665276414845,-0.0154970324066,0.076465598443,0.108511053551,0.256711568905,0.0898132509153,0.129723857873,0.143462496119,0.118105440785
2,0.129983279534,0.184289961838,0.167636875266,0.0894419460569,0.157184241872,0.104410329392,0.146535575054,0.171146785389,0.136839912392,0.137910343838
3,0.110927379845,0.0782216264162,0.0924624633615,0.105641601078,0.121938273788,-0.195982963129,0.050869615525,0.195799946475,0.0869907101066,0.106549994113
4,0.0961712606136,0.110509255502,0.101985279738,0.0499208146493,0.121085597749,0.0747340500813,0.038403359954,0.0794217460571,0.100485717814,0.105068628381
5,0.0962795145877,0.0887937684596,0.153847350143,0.112871032415,0.10489411966,0.0782422597895,0.0870317543961,0.137560594781,0.00140438997919,0.110627990607
6,0.136212888018,0.157429359976,0.0644702437273,0.15528753168,0.0895819418429,0.0,0.113372556796,0.185636802365,0.160128260439,0.144023517187
7,0.104004566413,0.125950005646,0.0518759885527,0.11424787727,0.179293373781,0.0,0.103353383697,0.10894024138,0.112707240126,0.133944530748
8,0.162457720029,0.14285918216,0.0947236328792,0.133609720877,0.16193820343,0.30439703154,0.0596608165792,0.145288575195,0.150597368705,0.13364231175
9,0.132078287118,0.0907849728209,0.183432628657,0.106400163922,0.0958151473086,0.0520362911428,0.231011899973,0.103436114509,0.0252754643278,0.107357920063
10,0.125752675012,0.112375722564,0.118588211361,0.100177300478,0.0704358113241,0.0,0.153069603845,0.212367997561,0.162303021795,0.0933482223281
11,0.153358848175,0.108845812569,0.175081503804,0.141750242219,0.0623908015761,0.0,0.16201876757,0.091660226427,0.0218964887948,0.133921942978
12,-0.00510740596456,-0.00765284802752,0.470335491466,0.171025470526,0.206772296846,0.0,-0.0512320575033,0.0558120791336,0.0666462203139,0.0628931910586
13,0.139498749623,0.147597105618,0.0,-0.00562178200681,0.00473081069204,0.0,0.0,0.0163666821077,0.428673476677,0.0913418653487
14,0.0256216133697,-0.135363936426,0.411331861663,0.109689517022,-0.0592835409851,0.0,0.0,0.0188264201488,0.250078129883,0.00571360792145
15,0.0663089790396,0.0755495407156,0.0,0.110168006989,0.343940704784,0.0,0.0769349130635,0.0445891086707,0.0,0.0209881041232
16,0.0862937603677,-0.118564867352,0.0,0.172137271313,-0.499958329861,0.0,0.0,0.040851371547,0.157196942639,0.146857819191
17,0.0130678913673,0.154170453114,0.0,0.0754905208038,0.0454586780616,0.0,0.0,-0.0426914800893,0.0,0.124248271651
18,0.108026878795,0.265609590065,0.0,0.182328124259,0.299299299299,0.0,0.0,-0.0548121115926,0.0,0.0897669834544
19,0.050888883543,0.487713045811,0.0,-0.0601076307438,0.0275326509001,0.0,0.0,-2.24248937821,0.0,0.0340963025202
20,0.17086038961,0.169567630291,0.0,0.647431832594,-0.867032293824,0.0,0.0,0.514400362752,0.0,0.0787607602317
21,-0.374947368421,0.0,0.0,-0.464617564511,0.0,0.0,0.0,-0.500500500501,0.0,0.0539920221254
